iter	Passed	Remaining
0	1	175
1	2	143
2	3	122
3	4	106
4	5	100
5	6	98
6	7	93
7	7	89
8	8	88
9	9	85
10	10	83
11	10	80
12	11	78
13	12	75
14	13	73
15	13	71
16	14	69
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	61
24	20	60
25	21	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	24	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	28	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	50	21
70	51	20
71	52	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
